sample_ID,Run ID,Assay Name,Test Name,Test Date,Qubit? tube conc.,Units,Original sample conc.,Units,Sample Volume (?L),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
201,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103755,2024/06/17 10:37:55,710,ng/mL,142,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,2425.52
202,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103807,2024/06/17 10:38:07,710,ng/mL,142,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,2427.3
203,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103814,2024/06/17 10:38:14,640,ng/mL,128,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,2256.27
204,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103821,2024/06/17 10:38:21,710,ng/mL,142,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,2439.2
205,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103828,2024/06/17 10:38:28,406,ng/mL,81.2,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,1607.3
207,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103835,2024/06/17 10:38:35,930,ng/mL,186,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,2876.34
208,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103842,2024/06/17 10:38:42,610,ng/mL,122,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,2183.17
209,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103849,2024/06/17 10:38:49,660,ng/mL,132,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,2311.08
213,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103856,2024/06/17 10:38:56,24,ng/mL,4.8,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,164.16
214,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103903,2024/06/17 10:39:03,326,ng/mL,65.2,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,1344.26
216,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103911,2024/06/17 10:39:11,455,ng/mL,91,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,1758.21
219,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103918,2024/06/17 10:39:18,126,ng/mL,25.2,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,586.35
227,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103925,2024/06/17 10:39:25,24,ng/mL,4.8,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,165.4
229,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103933,2024/06/17 10:39:33,270,ng/mL,54,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,1147.22
230,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103940,2024/06/17 10:39:40,300,ng/mL,60,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,1253.39
231,2024-06-17_103708,RNA High sensitivity,Sample_#240617-103947,2024/06/17 10:39:47,92.7,ng/mL,18.5,ng/?L,1,200,77.54,1889.13,,Red,Far Red,,450.44
